acc1_x_mean,acc1_x_std,acc1_x_max_abs,acc1_x_min,acc1_x_rms,acc1_x_kurtosis,acc1_x_crest_factor,acc1_x_skewness,acc1_x_fft_mean,acc1_x_fft_max,acc1_x_fft_dom_freq,acc1_x_fft_energy,acc1_x_fft_band_low,acc1_x_fft_band_mid,acc1_x_fft_band_high,acc1_y_mean,acc1_y_std,acc1_y_max_abs,acc1_y_min,acc1_y_rms,acc1_y_kurtosis,acc1_y_crest_factor,acc1_y_skewness,acc1_y_fft_mean,acc1_y_fft_max,acc1_y_fft_dom_freq,acc1_y_fft_energy,acc1_y_fft_band_low,acc1_y_fft_band_mid,acc1_y_fft_band_high,acc1_z_mean,acc1_z_std,acc1_z_max_abs,acc1_z_min,acc1_z_rms,acc1_z_kurtosis,acc1_z_crest_factor,acc1_z_skewness,acc1_z_fft_mean,acc1_z_fft_max,acc1_z_fft_dom_freq,acc1_z_fft_energy,acc1_z_fft_band_low,acc1_z_fft_band_mid,acc1_z_fft_band_high,acc2_x_mean,acc2_x_std,acc2_x_max_abs,acc2_x_min,acc2_x_rms,acc2_x_kurtosis,acc2_x_crest_factor,acc2_x_skewness,acc2_x_fft_mean,acc2_x_fft_max,acc2_x_fft_dom_freq,acc2_x_fft_energy,acc2_x_fft_band_low,acc2_x_fft_band_mid,acc2_x_fft_band_high,acc2_y_mean,acc2_y_std,acc2_y_max_abs,acc2_y_min,acc2_y_rms,acc2_y_kurtosis,acc2_y_crest_factor,acc2_y_skewness,acc2_y_fft_mean,acc2_y_fft_max,acc2_y_fft_dom_freq,acc2_y_fft_energy,acc2_y_fft_band_low,acc2_y_fft_band_mid,acc2_y_fft_band_high,acc2_z_mean,acc2_z_std,acc2_z_max_abs,acc2_z_min,acc2_z_rms,acc2_z_kurtosis,acc2_z_crest_factor,acc2_z_skewness,acc2_z_fft_mean,acc2_z_fft_max,acc2_z_fft_dom_freq,acc2_z_fft_energy,acc2_z_fft_band_low,acc2_z_fft_band_mid,acc2_z_fft_band_high,label_true,label_idx
-0.242046875,0.21829244501982742,0.99,-0.99,0.32594214402252436,5.089630493711464,3.0373488519920784,-1.714794831022769,4.805893801427122,123.928,0.0,21611.520209999995,168.45255803351705,169.81448530210028,896.8476636311531,-0.248728515625,0.22310534430086865,0.99,-0.99,0.33412852189034237,5.030746616267196,2.9629317229074394,-0.9750297923492487,4.918806765845822,127.349,0.0,22743.237853000006,155.95715882198303,181.65281648991234,926.523363510481,9.6422265625,0.0848726035048036,10.2,9.162,9.642600087186352,7.437822456492169,1.0578059762632432,0.5507146045989719,20.801790677599598,4936.82,0.0,24373137.823336005,4944.43015839893,42.55528087928509,359.0747648648801,0.28037109375,0.9094062703946892,6.435,-6.435,0.9516447419303855,13.974697542766577,6.761977143051093,-0.3955795459455032,17.878266450345922,143.55,0.0,129020.71942799998,246.21193689027095,787.6075481601268,3560.8949926885034,0.34152148437499996,0.916962244234146,6.3660000000000005,-5.699,0.978497154641047,11.532007877454822,6.5058952530418095,0.07190141739798396,17.75923910939559,174.85899999999998,0.0,140803.955697,253.36652509098616,680.8790993994105,3629.8788266242705,-9.87194921875,0.6354248251042484,11.87,-11.87,9.892378181506079,0.05517050642333521,1.1999136892068274,-0.01872735426811093,29.954060851291725,5054.438,0.0,25600429.078435995,5084.487453187457,149.267956831999,2464.4382287625203,arm_failure,0
-0.22268164062499995,0.20302834771389278,0.98,-0.98,0.30134303218570524,6.97026663949355,3.2521077047633833,-1.2788319532101073,4.533811287082025,114.01299999999999,0.0,18403.289464999994,156.2231525215119,156.44387049605646,852.5224777625118,-0.23646875,0.2081497521880281,0.99,-0.99,0.3150298224970138,7.5214977738591,3.142559612326305,-0.8018961964971767,4.686483014616658,121.07199999999999,0.0,20344.932743999998,174.6111551400855,196.94041073509197,832.8745688813035,9.64367578125,0.0864703726773058,9.931,9.216,9.644063443342684,1.8142801899964596,1.0297526615532206,-0.38847966125742805,20.764188117940968,4937.562,0.0,24380500.466418,4943.256906485078,35.952144173586255,357.1872956521622,0.2288515625,1.057569204590205,7.92,-6.87,1.082046976871268,12.554914503389812,7.3194603949462245,-0.07553319435431176,20.25402764838965,117.172,0.0,160336.113978,216.65014919745232,901.0355786907824,4087.599377747905,0.31821875,0.8865696967235219,7.44,-5.315,0.9419495740218794,17.051406837493303,7.898511976957138,0.6817051996877577,17.090959119877656,162.928,0.0,129586.41216,267.23281445532143,1081.5948783234312,3043.548801029806,-9.853154296875001,0.6665299318264705,12.548,-12.548,9.875672723822255,0.6468073222053721,1.2705969861132516,-0.15228515971947418,29.973253010141296,5044.8150000000005,0.0,25508391.566413008,5082.501079444086,157.70022531016446,2462.9247188520626,arm_failure,0
-0.25330273437499995,0.2335247999250255,0.99,-0.99,0.3445230143573503,4.215064879777455,2.8735380681988407,-1.4127926911605528,5.189059776926468,129.691,0.0,23988.58969700001,177.1606171562253,179.15669218114908,977.2710533327283,-0.241431640625,0.20132657514159885,0.98,-0.98,0.3143590732794665,5.453085461585179,3.117454147764718,-1.2786157581528876,4.475959891468346,123.613,0.0,20605.150857,154.11469165943066,170.74530453814933,825.4616959097848,9.648205078124999,0.07804440176007274,9.981,9.393,9.648520723831355,0.977082072625385,1.034459093227937,-0.04422982822725011,20.652872148827008,4939.880999999999,0.0,24403224.177360997,4944.757541812647,36.92559404533821,326.1050063905526,0.28732421875,0.8260745868305126,6.375,-6.375,0.8746167330251005,15.170361057483376,7.28890696003656,-0.3508286440455843,16.50763908068414,147.11,0.0,111157.673796,207.45039659456174,682.6320256462241,3352.380821495038,0.33984375,0.8741324577608004,5.724,-5.724,0.9378706350691444,13.504629198104787,6.103187134625249,-0.3886542621777681,16.939342764542886,174.0,0.0,130639.476352,248.1552292124074,743.9512322236487,3361.304629051466,-9.885037109375,0.6738579869034121,11.95,-11.95,9.907978766642286,-0.06063245049389243,1.2060986685827988,-0.017399453110158062,30.119937794013705,5061.139,0.0,25674658.08778901,5094.328489809773,172.7388279716862,2473.7566952800626,arm_failure,0
-0.2522421875,0.24421641261177524,0.99,-0.99,0.3510951115349657,4.37434978173248,2.8197487366088168,-0.8743472317343419,5.421746819552241,129.148,0.0,24496.695401999998,167.5750221087566,187.78978563239372,1038.0241248837756,-0.23377734374999998,0.23398453565181254,0.98,-0.96,0.33075762935267267,5.674048842453956,2.962894609430682,0.1275411156922844,5.183293228701367,119.69399999999999,0.0,21513.44829,161.43180984583276,197.9461147730876,972.728435157331,9.6514375,0.1298240847021461,10.99,9.306,9.65231060986824,41.93390828989733,1.1385874784868153,4.411049941199104,21.695762951674087,4941.536,0.0,24420992.478984006,4956.730985833949,77.06220694158105,542.0178858047112,0.23453125000000002,0.9682340092558656,6.849,-6.849,0.9962339102370739,9.485316562932471,6.874891451441612,-0.6611548036410785,18.547958296130634,120.08000000000001,0.0,137326.127264,219.80485403979097,903.7636684646129,3643.25675960117,0.34046679687500003,0.8558836390450821,5.922999999999999,-4.391,0.9211158685851498,12.561744787349225,6.430244223962386,0.5011023287498539,16.672794432527763,174.319,0.0,126451.23219299997,290.8647515982659,1032.1653584813023,2961.878059080066,-9.873234375,0.6909259014672697,11.75,-11.75,9.897380240497988,0.48620534382636516,1.1871828416507937,0.0670277217171589,30.28990419367215,5055.096,0.0,25617182.12112,5097.861281361281,172.95997732555904,2513.6841190869027,arm_failure,0
-0.236333984375,0.2076540179934216,0.99,-0.99,0.31460124500607906,5.885893709145503,3.1468406834627416,-1.9465898860069573,4.650783345987116,121.00299999999999,0.0,20301.231492999992,160.6048085377832,156.17810250001605,878.4684088808895,-0.23875195312499997,0.18082667967455135,0.99,-0.99,0.2995008901541446,7.516661418856316,3.305499346546101,-1.4072336375469987,4.062360385399849,122.24099999999999,0.0,19240.555417,162.71402026176625,143.12630936669424,738.1862894193007,9.65337890625,0.09532199227514974,10.19,9.327,9.653849521814795,5.404077332557655,1.0555374802474524,0.8044748300966976,20.937829505174715,4942.53,0.0,24429795.057354,4950.006907426849,49.82361170351105,381.1916636995429,0.27875390624999996,0.8503587811185147,6.6160000000000005,-6.6160000000000005,0.8948820016488208,14.75549245965841,7.393153488858712,-0.2609573102972528,16.740749092806706,142.72199999999998,0.0,115153.36654799999,223.22576152611072,694.2681116980611,3384.878643627151,0.34580859375,0.890291285332305,8.315,-5.211,0.955092747459638,20.92487998429238,8.705960770208266,0.2542016515506353,16.898631989428107,177.05399999999997,0.0,135254.970954,246.93373268577187,695.7295295942445,3400.2851590030077,-9.861041015625,0.6852357374625492,11.8,-11.8,9.884820581464005,-0.05863215474129824,1.1937495376429579,-0.09570190867970345,30.330785779612587,5048.852999999999,0.0,25552512.653372984,5087.8725832417695,155.823699774891,2551.3156623437726,arm_failure,0
-0.246576171875,0.2084625595379071,0.98,-0.98,0.32288766973302807,4.809182579746015,3.0351112440285446,-1.9288759665803097,4.572157125387455,126.247,0.0,21634.271045,167.7812379522637,132.74927313682016,874.513870135492,-0.21949023437499998,0.23710924248831503,0.99,-0.99,0.323104868207483,6.763214593327062,3.0640206767180214,0.848973044658929,5.14655754875185,112.37899999999999,0.0,19998.704068999996,161.92783849186583,171.73651554570523,989.0009359916543,9.64794921875,0.09978581241220938,9.98,9.294,9.64846523214638,0.8417722712388858,1.0343613993357892,-0.15524358536672897,20.948768284173088,4939.75,0.0,24402435.477913998,4948.356121069407,35.22643203169753,400.2508959313793,0.230296875,0.9711420315581982,6.907,-6.676,0.9980748950323066,14.541770590840144,6.92032233999444,-0.3954300010509492,19.189012104190574,117.912,0.0,137528.80805,222.48317493462667,901.7029649793055,3807.3899708630465,0.33861718749999997,0.8875781974449293,5.91,-5.392,0.9499771872260934,12.467624891425228,6.22120201753037,0.47345027665142286,17.4305179526123,173.372,0.0,133315.900458,288.29294531826247,1034.042085338982,3157.308083164117,-9.857138671875,0.6406798530697575,12.66,-12.66,9.877937713445206,1.4621638930861494,1.2816440400799842,0.008825040374328626,29.918454570529022,5046.855,0.0,25524567.000109002,5084.792529119659,188.0536127764962,2416.196682729806,arm_failure,0
-0.22940039062499998,0.19552590800958428,0.98,-0.98,0.301421498771861,6.748153680038854,3.251261110245087,-2.1016472851606314,4.408613185704713,117.453,0.0,18826.536552999998,156.266267922544,188.56799616028275,788.1793246432846,-0.25176171875,0.2306290435353837,0.99,-0.99,0.3414289366032118,5.451762633474306,2.8995784802239535,-0.38174452448372026,5.105737443034161,128.902,0.0,23615.090065999997,162.9482349102065,163.0866424988917,986.139645450681,9.653554687500002,0.11214917929047606,10.84,9.23,9.654206106302514,25.898188585275914,1.122826660164272,2.3981260812146394,21.376438894163375,4942.619999999999,0.0,24431141.661929984,4953.3176803975975,63.32725402972233,477.0998613726665,0.2851328125,0.8324999729832367,5.194,-4.578,0.8799755256717371,6.578618471982336,5.902436877585519,0.052831077230184584,16.63587977904044,145.988,0.0,112397.31777600001,217.43531328551592,700.4802610166096,3357.505528911268,0.338341796875,0.9057479290118587,6.803999999999999,-5.294,0.9668787320144523,12.094139359909066,7.03707690289874,-0.05695123112845867,17.26254835099353,173.231,0.0,137537.89041300002,265.0561113746735,681.9621982410199,3489.456616589645,-9.861107421875,0.6390959146090012,11.842,-11.842,9.881795544020738,0.2507598578640482,1.198365210659208,-0.009835169666723615,30.002314323243077,5048.887,0.0,25546041.310189005,5083.914928796765,181.3870959103949,2445.2927563663106,arm_failure,0
-0.24334570312499998,0.22097012582015327,0.99,-0.99,0.3287018827667025,5.359504169520193,3.011847661641807,-1.3791953259208543,4.850992329848344,124.59299999999999,0.0,21924.802332999996,170.42596482382964,148.9339731513399,927.3450907958547,-0.231142578125,0.25188188805639294,0.99,-0.99,0.34186455936982557,5.926507803045466,2.8958836766496887,0.5573720703887163,5.538150869877544,118.34499999999998,0.0,22325.223892999995,157.74165985857783,216.76105065885662,1048.8020630410945,9.639412109375,0.09875638868695046,10.161,9.225,9.63991797883529,2.1940586688499844,1.0540546113830744,-0.11377611997637654,20.91213252006797,4935.379,0.0,24359244.222972997,4941.644899085276,24.146683441069946,408.62647513112205,0.2191484375,0.9565819978398656,6.7810000000000015,-6.7810000000000015,0.981363926507389,12.69093949276062,6.909770993135414,-0.12700691041284878,18.70701965854255,112.204,0.0,132547.625386,185.6688889668892,901.2703730333176,3720.7647902452286,0.346439453125,0.9428426682725628,7.76,-4.9,1.0044762773688958,15.538321826457384,7.7254188746009635,1.0182008514777532,18.17728273918433,177.377,0.0,147981.05394100002,314.37373526439825,1082.8912845068303,3274.2966441991457,-9.853126953124999,0.6694090367572573,12.602,-12.602,9.875840177569229,1.9599324347085698,1.2760433312141475,-0.08634467999998542,30.478351889356347,5044.801,0.0,25508842.44319301,5067.780996071779,151.7228691250828,2613.432570367719,arm_failure,0
-0.25383007812499997,0.24176724108309502,0.99,-0.99,0.3505440163829287,3.911348273299706,2.8241817030314333,-0.873532102450471,5.304430132380986,129.96099999999998,0.0,24570.728273,182.86172103016256,198.5924736525373,981.7843493392135,-0.249447265625,0.2652157898539144,0.99,-0.99,0.3640925068105975,4.634213135864866,2.719089184100987,0.28045701753629365,5.820922819994948,127.717,0.0,25585.646277,178.69264965816336,192.64264683521412,1124.641868245324,9.646671875,0.1306012304554761,10.4,9.13,9.647555905270128,4.963687937496227,1.077993234871108,0.6027996766711871,21.52110517144559,4939.096,0.0,24396904.953151993,4948.968550770706,36.5764033152351,545.3790749755746,0.260599609375,1.042739414317749,6.808,-6.34,1.0748105147318412,9.508961286336405,6.334139739379471,-0.09298104510907174,20.3547367222545,133.42700000000002,0.0,160345.79791700002,429.19184650739044,944.2111259481928,3857.764365163824,0.350771484375,1.011230145300754,6.858,-4.71,1.0703396848737436,4.961743366784913,6.407311707219051,0.4494187614749844,18.41057096208116,179.595,0.0,166288.23589299998,374.5886718746489,566.5055580991482,3790.4225072810605,-9.871972656250001,0.5762075187994941,11.929,-11.929,9.88877440487287,0.7222970715185428,1.206317336242948,-0.12291795167183761,29.84666494510745,5054.45,0.0,25591452.029827993,5097.322946853408,201.8768478119644,2371.3930962272416,arm_failure,0
-0.241279296875,0.1897339886429962,0.98,-0.98,0.3069441081807484,6.662988706282427,3.1927636683293144,-2.7475377356744533,4.2036519371478756,123.53500000000001,0.0,19991.880389,171.9266138726121,139.09752064527956,769.3144133291123,-0.24843749999999998,0.1826920864118093,0.99,-0.99,0.3083789711438671,5.796373776027915,3.2103356241103826,-2.516383425505774,4.125079605002334,127.2,0.0,20588.714673999995,173.63245729440501,135.3449493804997,751.1680518106951,9.64472265625,0.11049190985291338,10.84,8.963,9.645355544412295,30.34274220865619,1.1238569640033564,2.1934416570400352,21.243266468926493,4938.098,0.0,24386414.731716007,4949.411269362049,57.24629167569999,452.86192147636154,0.252779296875,0.7425601801955216,2.9,-1.95,0.7844061410650895,0.31031068298923525,3.6970643707164648,0.00889858033170904,12.955932390410348,129.423,0.0,89041.002157,166.69732395730549,196.41465926135385,2966.5626411168005,0.326306640625,0.6573654639826709,5.9510000000000005,-5.9510000000000005,0.7338973885722206,15.664771129758478,8.108763002234907,-1.8242303501504422,12.370272164003431,167.06900000000002,0.0,84659.259509,237.48018590648252,309.36049192496785,2632.319268317431,-9.872158203125,0.6386573963351918,11.955,-11.955,9.892794896156591,0.2491355699245945,1.2084552570109517,0.014497761560923922,29.938854646156116,5054.545,0.0,25602057.563401002,5096.409076151586,169.47811488445188,2428.398453026084,arm_failure,0
